date,Stock Name,negative,neutral,positive,sent_index,sent_roll5,next_ret
2021-09-30,AAPL,1,6,0,-0.625,-0.625,0.008166675068595808
2021-10-01,AAPL,1,10,0,-0.5,-0.5625,-0.02457300826481723
2021-10-04,AAPL,1,9,0,-0.5263157894736842,-0.3302631578947368,0.014068003895980397
2021-10-05,AAPL,1,4,0,-0.7142857142857143,-0.3481203007518797,0.006333410364550041
2021-10-06,AAPL,0,10,0,0.0,-0.2481203007518796,0.009135336457384069
2021-10-07,AAPL,0,7,1,0.588235294117647,-0.1304732419283503,-0.0027378361849498267
2021-10-08,AAPL,0,6,1,0.625,-0.0054732419283503,-0.0006417707167153397
2021-10-11,AAPL,0,2,0,0.0,0.2426470588235293,-0.009133267212284246
2021-10-12,AAPL,8,14,1,-0.673076923076923,-0.0096153846153846,-0.004248669590327436
2021-10-13,AAPL,2,3,0,-0.8695652173913044,-0.3085284280936455,0.020292601083332862
2021-10-14,AAPL,0,14,1,0.4166666666666666,-0.2251950947603121,0.007562923952566969
2021-10-15,AAPL,1,6,0,-0.625,-0.3501950947603122,0.011776292648610687
2021-10-18,AAPL,1,18,4,0.4411764705882353,0.0465686274509803,0.015004449883190496
2021-10-19,AAPL,0,13,1,0.4347826086956522,0.0501918158567775,0.0033839788467071585
2021-10-20,AAPL,0,10,0,0.0,0.1751918158567775,0.0014746443103308415
2021-10-21,AAPL,0,10,0,0.0,0.1751918158567775,-0.005303629373108465
2021-10-22,AAPL,1,9,0,-0.5263157894736842,0.0699286579620406,-0.0003426675987223682
2021-10-25,AAPL,2,8,0,-0.7142857142857143,-0.2357363998230871,0.004607031207151779
2021-10-26,AAPL,0,6,3,0.8333333333333333,-0.0690697331564204,-0.0031801059125403652
2021-10-27,AAPL,0,14,0,0.0,0.0361934247383163,0.025097555966317575
2021-10-28,AAPL,7,22,0,-0.7608695652173914,-0.2336275471286913,-0.018232088475717223
2021-10-29,AAPL,8,14,8,0.0,-0.1283643892339544,-0.005625620722963687
2021-11-01,AAPL,0,8,1,0.5555555555555556,0.2365842568911622,0.007155610587020078
2021-11-02,AAPL,1,10,2,0.25,0.4387581699346405,0.009848870776023144
2021-11-03,AAPL,1,4,1,0.0,0.4387581699346405,-0.003537918278123442
2021-11-04,AAPL,2,9,0,-0.6896551724137931,0.1831800766283525,0.0036112292354317788
2021-11-05,AAPL,1,7,1,0.0,0.0231800766283525,-0.005582308789109702
2021-11-08,AAPL,1,12,1,0.0,0.0159151193633952,0.0024618880787803388
2021-11-09,AAPL,0,19,1,0.3448275862068965,0.2228116710875331,-0.019214940155716453
2021-11-10,AAPL,0,8,0,0.0,0.2228116710875331,-0.00034394992089159526
