Ticker,Pearson,P-value,Significant (p<0.05)
DIS,0.1634,0.0267,True
MSFT,-0.1555,0.0135,True
VZ,-0.1393,0.2683,False
BX,-0.1179,0.5425,False
XPEV,0.108,0.3029,False
AMZN,-0.084,0.1837,False
NIO,-0.0806,0.2025,False
AMD,-0.0763,0.2304,False
F,0.0758,0.7248,False
TSLA,-0.0567,0.3702,False
CRM,-0.0522,0.5779,False
TSM,0.0519,0.4117,False
NOC,0.0491,0.8197,False
PYPL,-0.0333,0.6515,False
KO,-0.0328,0.7081,False
INTC,0.0284,0.7457,False
META,0.0264,0.6981,False
PG,0.0243,0.7013,False
COST,0.0234,0.771,False
ENPH,-0.0211,0.8463,False
AAPL,-0.0173,0.785,False
GOOG,-0.0143,0.8269,False
NFLX,0.0121,0.8554,False
BA,0.0093,0.9087,False
